Zip Codesort column,Median Household Income,,Median Age,
77002,"$87,888 ",,37.2,
77003,"$86,707 ",,36.1,
77004,"$55,289 ",,35.9,
77005,"$185,974 ",,37.8,
77006,"$90,467 ",,41.3,
77007,"$127,987 ",,38.6,
77008,"$121,829 ",,40.5,
77009,"$64,011 ",,37,
77010,"$103,947 ",,46.6,
77011,"$35,675 ",,33.2,
77012,"$42,266 ",,31.5,
77013,"$42,252 ",,31.5,
77014,"$54,525 ",,32.3,
77015,"$51,859 ",,32.1,
77016,"$40,153 ",,36.9,
77017,"$54,802 ",,32.2,
77018,"$103,604 ",,41.3,
77019,"$114,835 ",,41,
77020,"$36,022 ",,32,
77021,"$44,013 ",,35.4,
77022,"$33,976 ",,33.5,
77023,"$46,441 ",,33.9,
77024,"$130,685 ",,44.6,
77025,"$87,720 ",,37.7,
77026,"$32,972 ",,34.8,
77027,"$103,889 ",,41.9,
77028,"$34,977 ",,35,
77029,"$42,163 ",,34.3,
77030,"$89,689 ",,37.2,
77031,"$51,330 ",,35.2,
77032,"$39,162 ",,27.9,
77033,"$42,099 ",,34.5,
77034,"$59,587 ",,31.1,
77035,"$51,682 ",,34.3,
77036,"$34,656 ",,32.1,
77037,"$47,749 ",,30.5,
77038,"$45,709 ",,30,
77039,"$42,783 ",,30.3,
77040,"$65,878 ",,35.1,
77041,"$101,774 ",,35.6,
77042,"$51,696 ",,35.6,
77043,"$71,917 ",,36.9,
77044,"$92,837 ",,31.3,
77045,"$63,174 ",,32.8,
77046,"$80,795 ",,39.5,
77047,"$74,988 ",,33.9,
77048,"$46,453 ",,34.3,
77049,"$71,987 ",,31.9,
77050,"$51,932 ",,32.8,
77051,"$38,431 ",,33.4,
77053,"$57,376 ",,33,
77054,"$56,736 ",,32.7,
77055,"$65,344 ",,34.6,
77056,"$106,528 ",,44.3,
77057,"$70,982 ",,37.7,
77058,"$65,570 ",,40.4,
77059,"$142,327 ",,44,
77060,"$34,698 ",,28.1,
77061,"$44,805 ",,32.2,
77062,"$101,532 ",,40.8,
77063,"$50,209 ",,36.8,
77064,"$75,429 ",,35.8,
77065,"$63,997 ",,36.1,
77066,"$65,546 ",,35,
77067,"$48,305 ",,30.4,
77068,"$83,272 ",,40,
77069,"$70,760 ",,45.4,
77070,"$72,009 ",,37.3,
77071,"$54,551 ",,36.7,
77072,"$44,445 ",,33.2,
77073,"$57,600 ",,30.3,
77074,"$47,216 ",,33.2,
77075,"$64,454 ",,30.9,
77076,"$41,666 ",,30.5,
77077,"$71,907 ",,39.2,
77078,"$44,363 ",,31,
77079,"$96,615 ",,39.2,
77080,"$53,730 ",,32.9,
77081,"$39,533 ",,30.5,
77082,"$55,225 ",,36,
77083,"$63,264 ",,34.9,
77084,"$71,440 ",,34.3,
77085,"$60,762 ",,32.6,
77086,"$54,389 ",,30.9,
77087,"$45,661 ",,31.9,
77088,"$45,269 ",,33.7,
77089,"$77,829 ",,34.7,
77090,"$45,361 ",,32.3,
77091,"$42,042 ",,33.7,
77092,"$44,268 ",,34.9,
77093,"$36,152 ",,29.9,
77094,"$181,406 ",,45.8,
77095,"$96,411 ",,35.9,
77096,"$71,669 ",,38.9,
77098,"$96,516 ",,40.7,
77099,"$44,431 ",,34.1,
77204,"$54,167 ",,20.6,
77336,"$75,055 ",,37.7,
77338,"$61,291 ",,33.2,
77339,"$84,057 ",,39.8,
77345,"$141,123 ",,41.7,
77346,"$108,963 ",,35.2,
77373,"$75,617 ",,34.7,
77375,"$90,405 ",,34.8,
77377,"$109,733 ",,36.7,
77379,"$107,167 ",,37,
77388,"$99,003 ",,37.6,
77389,"$125,163 ",,35.7,
77396,"$78,115 ",,31.4,
77401,"$221,212 ",,40,
77429,"$110,935 ",,35.8,
77433,"$118,338 ",,32.2,
77447,"$97,132 ",,34.6,
77449,"$82,287 ",,32.1,
77450,"$100,138 ",,37.9,
77493,"$106,070 ",,34.4,
77502,"$54,886 ",,31.6,
77503,"$57,351 ",,32.3,
77504,"$50,248 ",,34.7,
77505,"$93,491 ",,38.3,
77506,"$47,186 ",,29.6,
77507,"$141,549 ",,46.7,
77520,"$57,685 ",,33.5,
77521,"$76,876 ",,34.6,
77530,"$68,075 ",,31.1,
77532,"$78,050 ",,36.8,
77536,"$90,894 ",,37.1,
77547,"$49,124 ",,30.9,
77562,"$64,515 ",,36.1,
77571,"$87,410 ",,36.9,
77586,"$110,253 ",,41.3,
77587,"$50,779 ",,31.1,
77598,"$63,727 ",,35.1,
