Voter ID,Contact Success
1041564212,1
1043427395,1
1061260847,1
1090798474,1
1102265724,1
1102280756,1
1102288308,1
1102288536,1
1102298111,1
1102311807,1
1102319268,1
1102321583,1
1102334131,1
1102344612,1
1102360166,1
1102365946,1
1102381918,1
1102620312,1
1102720198,1
1102751899,1
1102752620,1
1102816366,1
1103032468,1
1103045569,1
1103049503,1
1103057439,1
1103069179,1
1103073300,1
1103089342,1
1103127098,1
1103138424,1
1103153910,1
1103154991,1
1103184488,1
1103201280,1
1103258780,1
1103577879,1
1103719255,1
1103942287,1
1104208603,1
1104248838,1
1105733695,1
1105752187,1
1106105154,1
1106126760,1
1106633023,1
1107270162,1
1107676492,1
1108045610,1
1108782112,1
1108798354,1
1108806210,1
1108812362,1
1108858411,1
1108858843,1
1108866721,1
1108882899,1
1109169518,1
1109243921,1
1109255465,1
1110122288,1
1110198951,1
1110263301,1
1110277717,1
1110286460,1
1110411952,1
1110611620,1
1110643497,1
1110651623,1
1110652562,1
1110661687,1
1110692399,1
1111151694,1
1111158835,1
1111191615,1
1111191881,1
1111231838,1
1111255278,1
1111255975,1
1111618703,1
1111808332,1
1111867431,1
1111875457,1
1111908026,1
1111908536,1
1111917349,1
1111925709,1
1112319408,1
1112335062,1
1112344251,1
1112360223,1
1112367208,1
1112405725,1
1112409138,1
1112440204,1
1112447565,1
1113618459,1
1114347291,1
1114456561,1
1115348020,1
1116682880,1
1116752541,1
1117512992,1
1119034836,1
1119042735,1
1119135839,1
1119171499,1
1119178625,1
1119196179,1
1119196450,1
1119203572,1
1119203720,1
1119204682,1
1119212312,1
1119221376,1
1119228792,1
1119246041,1
1119261824,1
1119270440,1
1120726932,1
1120760568,1
1121548492,1
1139406086,1
1141587149,1
1141625239,1
1143689024,1
1144441025,1
1144604993,1
1146383861,1
1146975175,1
1147395094,1
1148131140,1
1148208389,1
1150168717,1
1150208587,1
1152945860,1
1153469261,1
1153898979,1
1154460658,1
1155432468,1
1155812895,1
1161169183,1
1161348367,1
1161412283,1
1161501775,1
1162148270,1
1165085303,1
1165291223,1
1165576025,1
1165908532,1
1166780672,1
1166972720,1
1168952924,1
1170768035,1
1170995500,1
1171605085,1
1171719970,1
1172193629,1
1173592928,1
1174165311,1
1174343263,1
1178785322,1
1178861174,1
1179530270,1
1180202548,1
1180830706,1
1180944303,1
1182258260,1
1182742261,1
1184967878,1
1185767924,1
1185864040,1
1186407421,1
1190947639,1
1191750415,1
1191751143,1
1191763736,1
1192974121,1
1193844815,1
1194319002,1
1194643862,1
1195738882,1
1197920010,1
1198113685,1
1198738881,1
1198810419,1
1199050727,1
1199159941,1
1199403770,1
1199871982,1
1200487540,1
1201571112,1
1202267390,1
1202694895,1
1202793966,1
1202853695,1
1203158450,1
1203400517,1
1203537020,1
1203986932,1
1204283030,1
1204663731,1
1204715957,1
1205765177,1
1206397977,1
1206764191,1
1207207117,1
1208260799,1
1209132777,1
1209727599,1
1211833266,1
1211848700,1
1211986401,1
1212405184,1
1212626025,1
1213440415,1
1213614231,1
1213880708,1
1215627954,1
1215905465,1
1215959963,1
1216330175,1
1217401649,1
1218141326,1
1218577067,1
1218915157,1
1219036818,1
1219219737,1
1219443894,1
1219762392,1
1219808733,1
1221129800,1
2000958971,1
2001172788,1
2001223992,1
2001517398,1
2001754649,1
2001837800,1
2001841219,1
2001847389,1
2002175359,1
2002798857,1
2003071645,1
2120401652,1
2120598774,1
2120800245,1
2120801813,1
2120974530,1
2121376034,1
2121986057,1
2122292797,1
2123590810,1
2123888864,1
2124067974,1
2124361041,1
2124474180,1
2125071671,1
2125235479,1
2125750267,1
2126045152,1
2126486961,1
2127199855,1
2127338973,1
2127416288,1
2127690180,1
2128428129,1
2128652897,1
2129093618,1
2129640847,1
2129784328,1
2130591985,1
2131031342,1
2131950131,1
2132768912,1
2132769271,1
2133921550,1
2134155854,1
2134220242,1
2134295256,1
2134300790,1
2135421529,1
2135517680,1
2135987729,1
2136456260,1
2136520888,1
2136828547,1
2137340175,1
2137839489,1
2137849233,1
2137960816,1
2138313939,1
2139834299,1
2141428519,1
2141580130,1
2142760737,1
2142823775,1
2142826236,1
2142826431,1
2142826844,1
2143328607,1
2143516585,1
2144166624,1
2144382222,1
2144591279,1
2144885988,1
2144886134,1
2145147379,1
2145890750,1
2145999724,1
2147097720,1
2147097909,1
2147157806,1
2147856514,1
2148237430,1
2148807335,1
2148862425,1
2149455358,1
2151274650,1
2152579211,1
2153867488,1
2153967188,1
2154751218,1
2156135067,1
2156159044,1
2156536367,1
2156642512,1
2156760673,1
2157246237,1
2158213781,1
2159200426,1
2159450097,1
2159537610,1
2159634239,1
2159827993,1
2159944904,1
2160115952,1
2160116587,1
2160740712,1
2160909174,1
2161374110,1
2161674570,1
2161753482,1
2161853526,1
2162840308,1
2163935663,1
2164259200,1
2164272012,1
2164339329,1
2164483443,1
2164685932,1
2164686043,1
2165258760,1
2166127963,1
2168552480,1
2168555917,1
2169368741,1
2169855630,1
2170447899,1
2172452515,1
2173951744,1
2173966653,1
2174314541,1
2174747904,1
2175663638,1
2175743823,1
2175932661,1
2175950837,1
2176204793,1
2176309561,1
2176486300,1
2176521321,1
2177336319,1
2177338793,1
2177616562,1
2177942933,1
2178429858,1
2178529666,1
2178650679,1
2178815602,1
2179192264,1
2179356118,1
2179361930,1
2179460491,1
2179587769,1
2179784020,1
2180332978,1
2180450496,1
2183834737,1
2184005065,1
2184040842,1
2184244286,1
2184343544,1
2184567301,1
2184738511,1
2185306361,1
2185423267,1
2185544720,1
2185547466,1
2185581064,1
2185681343,1
2185681452,1
2185766468,1
2185766508,1
2186281584,1
2186290710,1
2186425136,1
2186508278,1
2186509165,1
2186670142,1
2187101020,1
2187267253,1
2187323984,1
2187464508,1
2188489848,1
2188895084,1
2190963915,1
2192097772,1
